Periode,Open,Volume,High,Low,Close
146,7201.45,1249124,7356,7182.2,7341.9
147,7326,1218621,7376.4,7218,7296.35
148,7338.95,949481,7385,7205,7316.65
149,7339.95,758078,7367.95,7276.05,7304.7
150,7300,957482,7398,7264,7342.2
151,7369,1906523,7369,7105,7149.4
152,7244,1027051,7325,7217.35,7318.95
153,7302,1036941,7343,7272.05,7309.4
154,7339,804464,7384,7272.1,7286.1
155,7300,2344414,7638,7296,7527.1
156,7490,835354,7588.8,7452.4,7488.25
157,7510,1100427,7538.7,7271,7301.7
158,7261,1060862,7279.8,7088.85,7102.2
159,7085,1088603,7250,7050,7207.7
160,7165,953096,7236.4,7140,7176.9
161,7212.8,1354296,7239,7025.1,7047.15
162,7120,759139,7141.5,7025.7,7062.1
163,6881,996735,7015.5,6861.35,6964.35
164,7000,1731381,7335,7000,7306.25
165,7228.6,1462579,7333.85,7142,7181.3
166,7217.1,906370,7313,7173.45,7190.35
167,7190.7,707025,7254,7158,7196.2
168,7228.75,791905,7255,7105,7119.35
169,7078,791994,7207.95,7070,7166.5
170,7220,772251,7279.45,7175,7257.65
171,7300,649607,7324,7165,7180.9
172,7216.85,834716,7319.9,7187.85,7286.9
173,7330,1382700,7444,7312.4,7403.45
174,7272.15,1493388,7560,7272.15,7483.45
175,7489.95,717420,7532.85,7369.7,7386.3
176,7385,1187036,7480.15,7194.35,7274.1
177,7275,1648117,7524.45,7190.95,7496.1
178,7569.95,1613450,7715,7565,7635.4
179,7640,1239262,7735,7586.05,7690.65
180,7670,1281039,7778,7600,7719.55
181,7714.8,1412331,7731.5,7475,7507.15
182,7437,1875205,7460,7129,7259.5
183,7325,1142829,7379.95,7210.05,7242.85
184,7179,869069,7297.5,7160.1,7202.5
185,7312.5,969632,7316.9,7088.05,7104.75
186,7081,1618665,7362,7026.8,7335.75
187,7337,820198,7398,7144.6,7171.8
188,7335,1191495,7505,7306.35,7488.7
189,7550,1510060,7599,7346.9,7404.15
190,7385.45,991196,7407.75,7272.25,7345.15
191,7265,653113,7338,7221,7293.4
192,7307,732206,7352.5,7172.6,7202.8
193,7205,740731,7258.5,7145,7226.2
194,7220.5,608655,7226,7114.7,7151.65
195,7300,839012,7345,7221,7272.5
196,7254.95,617401,7372.3,7217,7355.2
197,7400,906975,7430,7321,7390.4
198,7417,627177,7440,7350,7380.4
199,7369.95,1026054,7449,7261,7432.4
200,7490,2386960,7490,7153.05,7192.75
